,Parkvale Stream at Renalls Weir
Date,Flow
,(m³/sec)
16/01/2002,0.650
17/01/2002,0.441
18/01/2002,0.398
19/01/2002,0.393
20/01/2002,0.666
21/01/2002,0.766
22/01/2002,0.602
23/01/2002,0.541

1/02/2002,0.252
2/02/2002,0.288
3/02/2002,0.362
4/02/2002,0.327
5/02/2002,0.255
6/02/2002,0.288
7/02/2002,0.318
8/02/2002,0.285
9/02/2002,0.266
10/02/2002,0.225
11/02/2002,0.323
12/02/2002,0.360
13/02/2002,0.462
14/02/2002,0.502
15/02/2002,0.466
16/02/2002,0.451
17/02/2002,0.424
18/02/2002,0.375
19/02/2002,0.344
20/02/2002,0.322
21/02/2002,0.324
22/02/2002,0.309
23/02/2002,0.284
24/02/2002,0.290
25/02/2002,0.286
26/02/2002,0.259
27/02/2002,0.245
28/02/2002,0.219
1/03/2002,0.214
2/03/2002,0.288
3/03/2002,0.311
4/03/2002,0.258
5/03/2002,0.222
6/03/2002,0.232
7/03/2002,0.231
8/03/2002,0.214
9/03/2002,0.209
10/03/2002,0.199
11/03/2002,0.211
12/03/2002,0.193
13/03/2002,0.154
14/03/2002,0.122
15/03/2002,0.172
16/03/2002,0.188
17/03/2002,0.157
18/03/2002,0.196
19/03/2002,0.273
20/03/2002,0.329
21/03/2002,0.312
22/03/2002,0.382
23/03/2002,0.350
24/03/2002,0.294
25/03/2002,0.252
26/03/2002,0.234

14/04/2002,0.231
15/04/2002,0.225
16/04/2002,0.228
17/04/2002,0.222
18/04/2002,0.223
19/04/2002,0.211
20/04/2002,0.216
21/04/2002,0.215
22/04/2002,0.210
23/04/2002,0.206
24/04/2002,0.197
25/04/2002,0.198
26/04/2002,0.204
27/04/2002,0.207
28/04/2002,0.207
29/04/2002,0.236
30/04/2002,0.236
1/05/2002,0.229
2/05/2002,0.216
3/05/2002,0.210
4/05/2002,0.212
5/05/2002,0.204
6/05/2002,0.201
7/05/2002,0.192
8/05/2002,0.185
9/05/2002,0.188
10/05/2002,0.188
11/05/2002,0.181
12/05/2002,0.177
13/05/2002,0.181
14/05/2002,0.180
15/05/2002,0.183
16/05/2002,0.183
17/05/2002,0.179
18/05/2002,0.181
19/05/2002,0.177
20/05/2002,0.184
21/05/2002,0.174
22/05/2002,0.171
23/05/2002,0.186
24/05/2002,0.309
25/05/2002,0.299
26/05/2002,0.251
27/05/2002,0.221
28/05/2002,0.210
29/05/2002,0.210
30/05/2002,0.201
31/05/2002,0.191
1/06/2002,0.187
2/06/2002,0.187
3/06/2002,0.191
4/06/2002,0.190
5/06/2002,0.189
6/06/2002,0.197
7/06/2002,0.197
8/06/2002,0.190
9/06/2002,0.206
10/06/2002,0.395
11/06/2002,0.452
12/06/2002,0.340
13/06/2002,0.296
14/06/2002,0.631
15/06/2002,0.874
16/06/2002,1.216
17/06/2002,0.879
18/06/2002,1.651
19/06/2002,1.464
20/06/2002,1.086
21/06/2002,2.715
22/06/2002,1.943
23/06/2002,1.371
24/06/2002,1.168
25/06/2002,1.118
26/06/2002,1.080
27/06/2002,1.028
28/06/2002,1.033
29/06/2002,1.090
30/06/2002,1.287
1/07/2002,1.273
2/07/2002,1.278
3/07/2002,1.239
4/07/2002,1.135
5/07/2002,1.139
6/07/2002,1.256
7/07/2002,1.366
8/07/2002,1.606
9/07/2002,1.347
10/07/2002,1.220
11/07/2002,1.134
12/07/2002,1.140
13/07/2002,1.121
14/07/2002,1.538
15/07/2002,5.257
16/07/2002,3.315
17/07/2002,2.303
18/07/2002,2.246
19/07/2002,1.787
20/07/2002,1.586
21/07/2002,1.455
22/07/2002,1.893
23/07/2002,1.987
24/07/2002,2.038
25/07/2002,2.351
26/07/2002,2.241
27/07/2002,1.833
28/07/2002,1.762
29/07/2002,1.728
30/07/2002,1.614
31/07/2002,1.454
1/08/2002,1.352
2/08/2002,1.275
3/08/2002,1.204
4/08/2002,1.222
5/08/2002,1.149
6/08/2002,1.112
7/08/2002,1.160
8/08/2002,1.107
9/08/2002,1.449
10/08/2002,1.513
11/08/2002,1.203
12/08/2002,1.032
13/08/2002,1.014
14/08/2002,1.039
15/08/2002,0.942
16/08/2002,0.894
17/08/2002,0.888
18/08/2002,0.886
19/08/2002,1.512
20/08/2002,1.225
21/08/2002,0.949
22/08/2002,0.855
23/08/2002,0.796
24/08/2002,0.778
25/08/2002,1.047
26/08/2002,0.984
27/08/2002,0.866
28/08/2002,0.935
29/08/2002,0.928
30/08/2002,0.831
31/08/2002,0.764
1/09/2002,0.706
2/09/2002,0.674
3/09/2002,0.668
4/09/2002,0.656
5/09/2002,0.635
6/09/2002,0.628
7/09/2002,0.604
8/09/2002,0.607
9/09/2002,0.640
10/09/2002,0.564
11/09/2002,0.534
12/09/2002,0.561
13/09/2002,0.560
14/09/2002,0.582
15/09/2002,0.533
16/09/2002,0.516
17/09/2002,0.499
18/09/2002,0.478
19/09/2002,0.476
20/09/2002,0.481
21/09/2002,0.496
22/09/2002,0.462
23/09/2002,0.467
24/09/2002,0.420
25/09/2002,0.435
26/09/2002,0.444
27/09/2002,0.424
28/09/2002,0.411
29/09/2002,0.508
30/09/2002,1.645
1/10/2002,0.943
2/10/2002,0.696
3/10/2002,0.645
4/10/2002,0.746
5/10/2002,0.658
6/10/2002,0.593
7/10/2002,0.577
8/10/2002,0.570
9/10/2002,0.543
10/10/2002,0.526
11/10/2002,0.510
12/10/2002,0.596
13/10/2002,0.608
14/10/2002,0.631
15/10/2002,0.600
16/10/2002,0.558
17/10/2002,0.663
18/10/2002,0.587
19/10/2002,0.552
20/10/2002,0.518
21/10/2002,0.503
22/10/2002,0.458
23/10/2002,0.442
24/10/2002,0.438
25/10/2002,0.433
26/10/2002,0.428
27/10/2002,0.402
28/10/2002,0.387
29/10/2002,0.450
30/10/2002,0.386
31/10/2002,0.301
1/11/2002,0.271
2/11/2002,0.333
3/11/2002,0.346
4/11/2002,0.247
5/11/2002,0.209
6/11/2002,0.211
7/11/2002,0.208
8/11/2002,0.215
9/11/2002,0.182
10/11/2002,0.227
11/11/2002,0.233
12/11/2002,0.321
13/11/2002,0.245
14/11/2002,0.174
15/11/2002,0.183
16/11/2002,0.227
17/11/2002,0.292
18/11/2002,0.386
19/11/2002,0.424
20/11/2002,0.641
21/11/2002,0.470
22/11/2002,0.405
23/11/2002,0.415
24/11/2002,0.314
25/11/2002,0.277
