,Waikanae River at Water Treatment Plant
Date,Flow
,(m³/sec)
1/01/1990,2.338
2/01/1990,2.095
3/01/1990,1.980
4/01/1990,1.876
5/01/1990,10.380
6/01/1990,4.163
7/01/1990,3.107
8/01/1990,2.766
9/01/1990,2.639
10/01/1990,2.388
11/01/1990,2.279
12/01/1990,2.161
13/01/1990,2.033
14/01/1990,2.818
15/01/1990,2.695
16/01/1990,2.280
17/01/1990,18.479
18/01/1990,13.366
19/01/1990,4.671
20/01/1990,3.596
21/01/1990,3.046
22/01/1990,2.678
23/01/1990,2.448
24/01/1990,2.201
25/01/1990,2.026
26/01/1990,1.905
27/01/1990,1.760
28/01/1990,1.790
29/01/1990,4.618
30/01/1990,6.066
31/01/1990,2.968
1/02/1990,2.425
2/02/1990,2.154
3/02/1990,2.524
4/02/1990,2.423
5/02/1990,2.326
6/02/1990,2.168
7/02/1990,3.433
8/02/1990,2.897
9/02/1990,2.317
10/02/1990,2.074
11/02/1990,1.954
12/02/1990,1.875
13/02/1990,1.720
14/02/1990,1.640
15/02/1990,1.654
16/02/1990,1.457
17/02/1990,1.338
18/02/1990,1.172
19/02/1990,1.618
20/02/1990,3.757
21/02/1990,2.695
22/02/1990,2.261
23/02/1990,2.113
24/02/1990,1.977
25/02/1990,2.276
26/02/1990,1.852
27/02/1990,1.700
28/02/1990,1.680
1/03/1990,1.712
2/03/1990,1.614
3/03/1990,1.468
4/03/1990,1.302
5/03/1990,1.296
6/03/1990,1.271
7/03/1990,1.263
8/03/1990,1.117
9/03/1990,4.279
10/03/1990,38.817
11/03/1990,10.166
12/03/1990,53.834
13/03/1990,111.764
14/03/1990,33.479
15/03/1990,17.012
16/03/1990,12.210
17/03/1990,9.327
18/03/1990,7.684
19/03/1990,6.755
20/03/1990,13.409
21/03/1990,9.287
22/03/1990,6.791
23/03/1990,5.759
24/03/1990,5.100
25/03/1990,4.605
26/03/1990,4.194
27/03/1990,3.874
28/03/1990,3.601
29/03/1990,3.504
30/03/1990,3.336
31/03/1990,3.024
1/04/1990,2.853
2/04/1990,3.232
3/04/1990,2.795
4/04/1990,2.529
5/04/1990,2.380
6/04/1990,2.275
7/04/1990,2.142
8/04/1990,2.136
9/04/1990,2.670
10/04/1990,2.251
11/04/1990,1.970
12/04/1990,1.850
13/04/1990,1.767
14/04/1990,1.720
15/04/1990,1.679
16/04/1990,1.786
17/04/1990,2.129
18/04/1990,1.720
19/04/1990,1.602
20/04/1990,1.504
21/04/1990,1.468
22/04/1990,1.330
23/04/1990,1.312
24/04/1990,3.011
25/04/1990,8.666
26/04/1990,3.851
27/04/1990,3.085
28/04/1990,7.917
29/04/1990,5.868
30/04/1990,4.156
1/05/1990,4.508
2/05/1990,5.064
3/05/1990,4.655
4/05/1990,4.162
5/05/1990,3.589
6/05/1990,3.293
7/05/1990,3.119
8/05/1990,2.857
9/05/1990,2.618
10/05/1990,2.518
11/05/1990,2.643
12/05/1990,2.605
13/05/1990,2.644
14/05/1990,2.601
15/05/1990,2.374
16/05/1990,2.195
17/05/1990,2.107
18/05/1990,2.243
19/05/1990,2.721
20/05/1990,4.837
21/05/1990,4.298
22/05/1990,3.225
23/05/1990,3.303
24/05/1990,3.125
25/05/1990,35.788
26/05/1990,12.777
27/05/1990,8.121
28/05/1990,6.415
29/05/1990,5.476
30/05/1990,4.802
31/05/1990,4.291
1/06/1990,3.897
2/06/1990,4.001
3/06/1990,5.529
4/06/1990,5.705
5/06/1990,5.253
6/06/1990,5.155
7/06/1990,5.186
8/06/1990,12.815
9/06/1990,9.090
10/06/1990,8.019
11/06/1990,7.817
12/06/1990,7.031
13/06/1990,6.168
14/06/1990,5.468
15/06/1990,5.021
16/06/1990,4.507
17/06/1990,4.826
18/06/1990,4.582
19/06/1990,4.752
20/06/1990,5.912
21/06/1990,5.218
22/06/1990,5.000
23/06/1990,4.828
24/06/1990,4.301
25/06/1990,4.012
26/06/1990,4.015
27/06/1990,4.350
28/06/1990,6.202
29/06/1990,4.863
30/06/1990,7.162
1/07/1990,5.834
2/07/1990,5.092
3/07/1990,4.868
4/07/1990,4.595
5/07/1990,4.140
6/07/1990,3.982
7/07/1990,3.937
8/07/1990,3.794
9/07/1990,3.724
10/07/1990,3.497
11/07/1990,3.222
12/07/1990,3.071
13/07/1990,3.197
14/07/1990,2.860
15/07/1990,2.719
16/07/1990,2.692
17/07/1990,2.592
18/07/1990,2.669
19/07/1990,2.650
20/07/1990,2.427
21/07/1990,2.341
22/07/1990,3.534
23/07/1990,3.065
24/07/1990,2.683
25/07/1990,2.601
26/07/1990,3.176
27/07/1990,3.974
28/07/1990,4.416
29/07/1990,3.552
30/07/1990,3.745
31/07/1990,3.285
1/08/1990,3.055
2/08/1990,2.864
3/08/1990,2.690
4/08/1990,2.567
5/08/1990,4.133
6/08/1990,6.136
7/08/1990,20.568
8/08/1990,18.367
9/08/1990,12.888
10/08/1990,10.115
11/08/1990,11.722
12/08/1990,13.358
13/08/1990,12.317
14/08/1990,19.638
15/08/1990,15.208
16/08/1990,9.868
17/08/1990,8.457
18/08/1990,6.991
19/08/1990,6.018
20/08/1990,5.359
21/08/1990,4.867
22/08/1990,4.484
23/08/1990,5.218
24/08/1990,4.500
25/08/1990,4.371
26/08/1990,10.668
27/08/1990,7.266
28/08/1990,5.898
29/08/1990,5.180
30/08/1990,4.688
31/08/1990,4.299
1/09/1990,3.974
2/09/1990,3.725
3/09/1990,3.518
4/09/1990,3.698
5/09/1990,3.751
6/09/1990,3.701
7/09/1990,3.390
8/09/1990,3.108
9/09/1990,2.941
10/09/1990,2.936
11/09/1990,2.728
12/09/1990,2.537
13/09/1990,2.443
14/09/1990,2.339
15/09/1990,2.240
16/09/1990,2.153
17/09/1990,2.047
18/09/1990,2.290
19/09/1990,2.632
20/09/1990,2.515
21/09/1990,2.389
22/09/1990,2.318
23/09/1990,2.556
24/09/1990,6.026
25/09/1990,3.372
26/09/1990,3.114
27/09/1990,2.608
28/09/1990,2.349
29/09/1990,2.823
30/09/1990,2.850
1/10/1990,2.535
2/10/1990,2.301
3/10/1990,2.057
4/10/1990,2.022
5/10/1990,1.939
6/10/1990,1.879
7/10/1990,9.157
8/10/1990,3.760
9/10/1990,2.918
10/10/1990,2.718
11/10/1990,6.049
12/10/1990,12.737
13/10/1990,20.036
14/10/1990,8.309
15/10/1990,7.568
16/10/1990,6.234
