HAM3: NO-ABSTRACTION/NATURALISED RUN  1992-2019,,,,,,,,,,,,,,For reference:  ABSTRACTION RATE (For calibration run) - Most from WWL Waterloo wellfield.,,
,,,,,,,,,,,,,,,,m3/d
,,,WAIWHETU AQUIFER,,,,UNCONFINED TAITA AQ,,MOERA AQUIFER,,,,,,7/07/1992,49249
,,,HVMTC,Hutt Rec,McEwan Pk,,Taita Int,,Marsden St,IBM1,,,,,14/07/1992,36627
,,,R27/0120,R27/1115,R27/0122,,R27/1117,,R27/6386,R27/0320,,,,,21/07/1992,42255
,,,,,,,,,,,,,,,28/07/1992,53006
,Time,,Head,Head,Head,,Head,,Head,Head,,,,,4/08/1992,57143
7/07/1992,7,,6.41,6.65,6.24,,9.828,,7.221,7.145,,,,,11/08/1992,58646
11/07/1992,11,,6.49,6.75,6.31,,10.010,,7.254,7.152,,,,,18/08/1992,54867
14/07/1992,14,,6.54,6.80,6.36,,10.078,,7.280,7.161,,,,,25/08/1992,60029
18/07/1992,18,,6.56,6.81,6.38,,10.055,,7.298,7.172,,,,,1/09/1992,62236
21/07/1992,21,,6.56,6.82,6.39,,10.048,,7.303,7.177,,,,,8/09/1992,47943
25/07/1992,25,,6.69,6.97,6.50,,10.322,,7.358,7.195,,,,,15/09/1992,35896
28/07/1992,28,,6.77,7.05,6.57,,10.426,,7.401,7.212,,,,,22/09/1992,54425
1/08/1992,32,,6.77,7.04,6.59,,10.325,,7.420,7.231,,,,,29/09/1992,43225
4/08/1992,35,,6.77,7.03,6.59,,10.295,,7.421,7.239,,,,,6/10/1992,36979
8/08/1992,39,,6.76,7.01,6.58,,10.256,,7.420,7.247,,,,,13/10/1992,52974
11/08/1992,42,,6.75,7.01,6.57,,10.242,,7.420,7.252,,,,,20/10/1992,53928
15/08/1992,46,,6.78,7.04,6.60,,10.315,,7.436,7.262,,,,,27/10/1992,56460
18/08/1992,49,,6.80,7.06,6.62,,10.339,,7.449,7.271,,,,,3/11/1992,47445
22/08/1992,53,,6.82,7.08,6.64,,10.341,,7.463,7.283,,,,,10/11/1992,43121
25/08/1992,56,,6.83,7.09,6.65,,10.351,,7.473,7.291,,,,,17/11/1992,45510
29/08/1992,60,,6.87,7.14,6.69,,10.417,,7.497,7.306,,,,,24/11/1992,50698
1/09/1992,63,,6.90,7.17,6.71,,10.446,,7.514,7.317,,,,,1/12/1992,50887
5/09/1992,67,,6.90,7.16,6.72,,10.411,,7.525,7.331,,,,,8/12/1992,46317
8/09/1992,70,,6.90,7.16,6.72,,10.401,,7.529,7.338,,,,,15/12/1992,41411
12/09/1992,74,,6.89,7.14,6.71,,10.357,,7.529,7.347,,,,,22/12/1992,49972
15/09/1992,77,,6.88,7.14,6.70,,10.343,,7.529,7.353,,,,,29/12/1992,49151
19/09/1992,81,,6.85,7.10,6.68,,10.284,,7.522,7.358,,,,,5/01/1993,49545
22/09/1992,84,,6.83,7.08,6.66,,10.260,,7.516,7.361,,,,,12/01/1993,46438
26/09/1992,88,,6.88,7.14,6.70,,10.395,,7.538,7.370,,,,,19/01/1993,69554
29/09/1992,91,,6.90,7.17,6.72,,10.435,,7.555,7.379,,,,,26/01/1993,52183
3/10/1992,95,,6.89,7.15,6.71,,10.373,,7.560,7.390,,,,,2/02/1993,56204
6/10/1992,98,,6.88,7.14,6.71,,10.359,,7.560,7.395,,,,,9/02/1993,57952
10/10/1992,102,,6.86,7.12,6.69,,10.325,,7.556,7.401,,,,,16/02/1993,59028
13/10/1992,105,,6.85,7.10,6.67,,10.305,,7.552,7.404,,,,,23/02/1993,56175
17/10/1992,109,,6.96,7.24,6.77,,10.569,,7.601,7.419,,,,,2/03/1993,61519
20/10/1992,112,,7.04,7.33,6.85,,10.672,,7.642,7.436,,,,,9/03/1993,57732
24/10/1992,116,,6.99,7.26,6.81,,10.480,,7.642,7.451,,,,,16/03/1993,64549
27/10/1992,119,,6.96,7.22,6.79,,10.420,,7.631,7.455,,,,,23/03/1993,57702
31/10/1992,123,,6.88,7.12,6.71,,10.253,,7.596,7.454,,,,,30/03/1993,46134
3/11/1992,126,,6.83,7.07,6.66,,10.189,,7.573,7.450,,,,,6/04/1993,45474
7/11/1992,130,,6.76,7.00,6.60,,10.103,,7.541,7.442,,,,,13/04/1993,71137
10/11/1992,133,,6.72,6.96,6.56,,10.064,,7.523,7.437,,,,,20/04/1993,78938
14/11/1992,137,,6.66,6.90,6.50,,9.991,,7.495,7.428,,,,,27/04/1993,73456
17/11/1992,140,,6.63,6.87,6.47,,9.959,,7.479,7.421,,,,,4/05/1993,77749
21/11/1992,144,,6.59,6.83,6.43,,9.936,,7.461,7.413,,,,,11/05/1993,80909
24/11/1992,147,,6.57,6.81,6.41,,9.921,,7.450,7.407,,,,,18/05/1993,71727
28/11/1992,151,,6.56,6.80,6.40,,9.934,,7.441,7.401,,,,,25/05/1993,50071
1/12/1992,154,,6.55,6.79,6.39,,9.932,,7.437,7.397,,,,,1/06/1993,47837
5/12/1992,158,,6.54,6.78,6.37,,9.921,,7.429,7.391,,,,,8/06/1993,57657
8/12/1992,161,,6.53,6.77,6.36,,9.916,,7.424,7.388,,,,,15/06/1993,59431
12/12/1992,165,,6.52,6.76,6.35,,9.917,,7.418,7.382,,,,,22/06/1993,75880
15/12/1992,168,,6.51,6.76,6.35,,9.915,,7.414,7.379,,,,,29/06/1993,67552
19/12/1992,172,,6.49,6.73,6.33,,9.866,,7.401,7.372,,,,,6/07/1993,50016
22/12/1992,175,,6.48,6.72,6.31,,9.850,,7.393,7.367,,,,,13/07/1993,37394
26/12/1992,179,,6.49,6.74,6.33,,9.925,,7.396,7.363,,,,,20/07/1993,42719
29/12/1992,182,,6.50,6.75,6.33,,9.943,,7.400,7.362,,,,,27/07/1993,53470
2/01/1993,186,,6.53,6.79,6.36,,10.017,,7.413,7.362,,,,,3/08/1993,57607
5/01/1993,189,,6.55,6.81,6.37,,10.041,,7.421,7.364,,,,,10/08/1993,59110
9/01/1993,193,,6.51,6.76,6.35,,9.926,,7.407,7.360,,,,,17/08/1993,55294
12/01/1993,196,,6.50,6.74,6.33,,9.896,,7.396,7.356,,,,,24/08/1993,60456
16/01/1993,200,,6.49,6.73,6.32,,9.891,,7.385,7.349,,,,,31/08/1993,62663
19/01/1993,203,,6.48,6.72,6.31,,9.884,,7.380,7.345,,,,,7/09/1993,48370
23/01/1993,207,,6.47,6.71,6.30,,9.873,,7.373,7.339,,,,,14/09/1993,37376
26/01/1993,210,,6.46,6.71,6.30,,9.868,,7.368,7.335,,,,,21/09/1993,55905
30/01/1993,214,,6.45,6.70,6.29,,9.854,,7.361,7.330,,,,,28/09/1993,44705
2/02/1993,217,,6.45,6.69,6.28,,9.848,,7.356,7.326,,,,,5/10/1993,38459
6/02/1993,221,,6.44,6.68,6.27,,9.835,,7.348,7.320,,,,,12/10/1993,54496
9/02/1993,224,,6.43,6.68,6.27,,9.830,,7.344,7.316,,,,,19/10/1993,55450
13/02/1993,228,,6.42,6.66,6.25,,9.794,,7.332,7.309,,,,,26/10/1993,57982
16/02/1993,231,,6.41,6.65,6.24,,9.782,,7.325,7.304,,,,,2/11/1993,48967
20/02/1993,235,,6.41,6.65,6.24,,9.810,,7.322,7.298,,,,,9/11/1993,43940
23/02/1993,238,,6.41,6.66,6.25,,9.816,,7.321,7.295,,,,,16/11/1993,46329
27/02/1993,242,,6.40,6.64,6.24,,9.792,,7.315,7.289,,,,,23/11/1993,51517
2/03/1993,245,,6.40,6.64,6.23,,9.785,,7.310,7.285,,,,,30/11/1993,51706
6/03/1993,249,,6.38,6.62,6.22,,9.761,,7.300,7.278,,,,,7/12/1993,46737
9/03/1993,252,,6.38,6.62,6.21,,9.753,,7.295,7.274,,,,,14/12/1993,41831
13/03/1993,256,,6.37,6.61,6.20,,9.740,,7.286,7.267,,,,,21/12/1993,50392
16/03/1993,259,,6.36,6.60,6.20,,9.735,,7.281,7.262,,,,,28/12/1993,49571
20/03/1993,263,,6.36,6.60,6.19,,9.732,,7.274,7.255,,,,,4/01/1994,49495
23/03/1993,266,,6.35,6.59,6.19,,9.729,,7.270,7.251,,,,,11/01/1994,46388
27/03/1993,270,,6.34,6.58,6.18,,9.715,,7.263,7.244,,,,,18/01/1994,69504
30/03/1993,273,,6.34,6.58,6.18,,9.709,,7.258,7.240,,,,,25/01/1994,52133
3/04/1993,277,,6.35,6.59,6.19,,9.751,,7.259,7.235,,,,,1/02/1994,56244
5/04/1993,280,,6.36,6.60,6.19,,9.762,,7.260,7.233,,,,,8/02/1994,57992
10/04/1993,284,,6.40,6.66,6.23,,9.883,,7.280,7.234,,,,,15/02/1994,59068
12/04/1993,287,,6.43,6.69,6.26,,9.921,,7.293,7.236,,,,,22/02/1994,56215
17/04/1993,291,,6.42,6.67,6.25,,9.856,,7.291,7.236,,,,,1/03/1994,61769
19/04/1993,294,,6.42,6.66,6.25,,9.845,,7.287,7.234,,,,,8/03/1994,57982
24/04/1993,298,,6.42,6.66,6.25,,9.842,,7.284,7.232,,,,,15/03/1994,64799
26/04/1993,301,,6.42,6.67,6.25,,9.843,,7.283,7.230,,,,,22/03/1994,57952
1/05/1993,305,,6.42,6.67,6.25,,9.841,,7.282,7.228,,,,,29/03/1994,46234
3/05/1993,308,,6.42,6.66,6.25,,9.839,,7.280,7.226,,,,,5/04/1994,45574
8/05/1993,312,,6.42,6.66,6.25,,9.833,,7.278,7.224,,,,,12/04/1994,71237
10/05/1993,315,,6.41,6.66,6.25,,9.831,,7.276,7.222,,,,,19/04/1994,79038
15/05/1993,319,,6.54,6.82,6.36,,10.153,,7.330,7.232,,,,,26/04/1994,73484
17/05/1993,322,,6.62,6.90,6.43,,10.266,,7.371,7.245,,,,,3/05/1994,77777
22/05/1993,326,,6.62,6.89,6.44,,10.150,,7.385,7.258,,,,,10/05/1994,80937
24/05/1993,329,,6.63,6.89,6.45,,10.131,,7.387,7.262,,,,,17/05/1994,71755
29/05/1993,333,,6.61,6.86,6.43,,10.057,,7.378,7.265,,,,,24/05/1994,49804
31/05/1993,336,,6.59,6.84,6.42,,10.029,,7.372,7.265,,,,,31/05/1994,47570
5/06/1993,340,,6.63,6.89,6.45,,10.137,,7.387,7.270,,,,,7/06/1994,57390
7/06/1993,343,,6.65,6.91,6.47,,10.169,,7.399,7.275,,,,,14/06/1994,59164
12/06/1993,347,,6.73,7.00,6.54,,10.315,,7.437,7.289,,,,,21/06/1994,74995
14/06/1993,350,,6.77,7.05,6.59,,10.374,,7.463,7.300,,,,,28/06/1994,66667
19/06/1993,354,,6.75,7.01,6.58,,10.246,,7.465,7.311,,,,,5/07/1994,76626
21/06/1993,357,,6.74,7.00,6.57,,10.210,,7.460,7.314,,,,,12/07/1994,86397
26/06/1993,361,,6.71,6.97,6.54,,10.149,,7.448,7.316,,,,,19/07/1994,72505
28/06/1993,364,,6.70,6.95,6.53,,10.125,,7.442,7.317,,,,,26/07/1994,64822
3/07/1993,368,,6.67,6.91,6.50,,10.060,,7.427,7.316,,,,,2/08/1994,65578
5/07/1993,371,,6.65,6.89,6.48,,10.033,,7.418,7.314,,,,,9/08/1994,61857
10/07/1993,375,,6.61,6.85,6.45,,9.983,,7.402,7.311,,,,,16/08/1994,79113
12/07/1993,378,,6.59,6.83,6.43,,9.960,,7.393,7.308,,,,,23/08/1994,46910
