    ID                  CURVE             X             Y
     1               S27/0428      0.000000      2.256005 
     1               S27/0428      0.001000      2.255625 
     1               S27/0428      0.012550      2.254622 
     1               S27/0428      0.012563      2.254621 
     1               S27/0428      0.012575      2.254620 
     1               S27/0428      0.012922      2.254592 
     1               S27/0428      0.016008      2.254411 
     1               S27/0428      0.030115      2.253716 
     1               S27/0428      0.052749      2.252574 
     1               S27/0428      0.188329      2.254499 
     1               S27/0428      0.206517      2.254936 
     1               S27/0428      0.665723      2.312212 
     1               S27/0428      0.724070      2.320067 
     1               S27/0428      1.466810      2.422619 
     1               S27/0428      1.977410      2.487200 
     1               S27/0428      3.571507      2.638058 
     1               S27/0428      4.921679      2.740394 
     1               S27/0428      7.000000      2.861350 
     1               S27/0428     11.646329      3.043433 
     1               S27/0428     12.042410      3.058369 
     1               S27/0428     14.000000      3.121586 
     1               S27/0428     16.900687      3.201787 
     1               S27/0428     19.446329      3.266319 
     1               S27/0428     21.000000      3.304255 
     1               S27/0428     24.642877      3.382180 
     1               S27/0428     24.834520      3.386251 
     1               S27/0428     28.000000      3.443375 
     1               S27/0428     31.165480      3.492210 
     1               S27/0428     34.525601      3.536645 
     1               S27/0428     35.000000      3.542776 
     1               S27/0428     36.679334      3.563033 
     1               S27/0428     36.704441      3.563336 
     1               S27/0428     36.729548      3.563638 
     1               S27/0428     36.848118      3.565058 
     1               S27/0428     37.190641      3.569106 
     1               S27/0428     38.010151      3.578517 
     1               S27/0428     39.772511      3.597801 
     1               S27/0428     42.000000      3.621084 
     1               S27/0428     47.491997      3.667716 
     1               S27/0428     47.857868      3.670773 
     1               S27/0428     49.000000      3.679803 
     1               S27/0428     51.152928      3.695497 
     1               S27/0428     52.576489      3.705432 
     1               S27/0428     56.000000      3.728091 
     1               S27/0428     62.403549      3.765576 
     1               S27/0428     63.000000      3.769027 
     1               S27/0428     64.995821      3.779855 
     1               S27/0428     68.460085      3.796003 
     1               S27/0428     70.000000      3.802609 
     1               S27/0428     74.140415      3.821960 
     1               S27/0428     77.000000      3.837252 
     1               S27/0428     83.612051      3.877734 
     1               S27/0428     84.000000      3.880128 
     1               S27/0428     85.480577      3.889231 
     1               S27/0428     88.071379      3.903979 
     1               S27/0428     91.000000      3.918211 
     1               S27/0428     96.091645      3.932956 
     1               S27/0428     98.000000      3.936936 
     1               S27/0428    103.003014      3.957491 
     1               S27/0428    105.000000      3.968271 
     1               S27/0428    109.338649      3.989194 
     1               S27/0428    112.000000      3.998571 
     1               S27/0428    117.504677      4.003498 
     1               S27/0428    119.000000      4.003776 
     1               S27/0428    123.543838      3.997048 
     1               S27/0428    126.000000      3.991476 
     1               S27/0428    133.000000      3.962502 
     1               S27/0428    140.000000      3.933401 
     1               S27/0428    147.000000      3.910781 
     1               S27/0428    154.000000      3.892405 
     1               S27/0428    161.000000      3.876889 
     1               S27/0428    168.000000      3.852619 
     1               S27/0428    175.000000      3.830454 
     1               S27/0428    182.000000      3.822552 
