ID,boreID,modeltime_days,modeldate,gwlevel_m
1,R26/6626,7.0,1992-07-08,9.748963356018066
1,R26/6626,14.000000953674316,1992-07-15,9.7750825881958
1,R26/6626,21.0,1992-07-22,9.848912239074707
1,R26/6626,28.0,1992-07-29,9.886076927185059
1,R26/6626,35.000003814697266,1992-08-05,9.89420223236084
1,R26/6626,42.000003814697266,1992-08-12,9.964082717895508
1,R26/6626,49.000003814697266,1992-08-19,10.040128707885742
1,R26/6626,56.000003814697266,1992-08-26,10.07352066040039
1,R26/6626,63.000003814697266,1992-09-02,10.108713150024414
1,R26/6626,70.0,1992-09-09,10.111248970031738
1,R26/6626,77.0,1992-09-16,10.091301918029785
1,R26/6626,84.0,1992-09-23,10.137422561645508
1,R26/6626,91.0,1992-09-30,10.116482734680176
1,R26/6626,98.0,1992-10-07,10.094889640808105
1,R26/6626,105.0,1992-10-14,10.139809608459473
1,R26/6626,112.0,1992-10-21,10.144488334655762
1,R26/6626,119.0,1992-10-28,10.122446060180664
1,R26/6626,126.0,1992-11-04,10.099959373474121
1,R26/6626,133.0,1992-11-11,10.076943397521973
1,R26/6626,139.99998474121094,1992-11-18,10.05339527130127
1,R26/6626,146.99996948242188,1992-11-25,10.02936840057373
1,R26/6626,153.9999542236328,1992-12-02,10.00493049621582
1,R26/6626,160.99993896484375,1992-12-09,9.98016357421875
1,R26/6626,167.9999237060547,1992-12-16,9.955131530761719
1,R26/6626,174.99990844726562,1992-12-23,9.929902076721191
1,R26/6626,181.99989318847656,1992-12-30,9.904561996459961
1,R26/6626,188.9998779296875,1993-01-06,9.879125595092773
1,R26/6626,195.99986267089844,1993-01-13,9.853616714477539
1,R26/6626,202.99984741210938,1993-01-20,9.828083038330078
1,R26/6626,209.9998321533203,1993-01-27,9.802553176879883
1,R26/6626,216.99981689453125,1993-02-03,9.777059555053711
1,R26/6626,223.9998016357422,1993-02-10,9.751608848571777
1,R26/6626,230.99978637695312,1993-02-17,9.726217269897461
1,R26/6626,237.99977111816406,1993-02-24,9.700895309448242
1,R26/6626,244.999755859375,1993-03-03,9.675652503967285
1,R26/6626,251.99974060058594,1993-03-10,9.650504112243652
1,R26/6626,258.9997253417969,1993-03-17,9.625445365905762
1,R26/6626,265.9997253417969,1993-03-24,9.600480079650879
1,R26/6626,272.9997253417969,1993-03-31,9.575613021850586
1,R26/6626,279.9997253417969,1993-04-07,9.592120170593262
1,R26/6626,286.9997253417969,1993-04-14,9.573308944702148
