KAPITI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Site,Site_1,Type,Zone,Easting,Northing,F8,Risk_Categ,Model,Trend_Anal,,Flow site_Option1,Easting,Northing,Flow site_Option2
Taylors,S25/5332,Automatic,Waitohu,1782183,5487286, , ,Kapiti,Y,,,5484786,1786886,Otaki at Pukehinau
Laurensen Estate,S25/5329,Manual,Waitohu,1780583,5487986, , ,Kapiti,Y,,,5484786,1786886,Otaki at Pukehinau
KCDC Rangiuru,R25/5228,Manual,Otaki,1779182,5486286, , ,Kapiti,Y,,Otaki at Pukehinau,5478485,1785483,
Andrews,S25/5228,Manual,Otaki,1782737,5483246, , ,Kapiti,Y,,Otaki at Pukehinau,5478485,1785483,
Otaki GW Zone at Bettys,S25/5258, ,Otaki,1782227,5483430, , ,Kapiti,Y,,Otaki at Pukehinau,5478485,1785483,
Sims Road South,R25/0003,Automatic,Coastal,1776328,5482692, , ,Kapiti,Y,,Mangaone at Ratanui,5478174,1781874,Waikanae at WTP
Centrepoint,S25/5208,Automatic,Hautere,1780182,5480785, ,High,Kapiti,Y,,,5478174,1781874,Waikanae at WTP
Faith,R25/5123,Manual,Coastal,1778282,5480785, , ,Kapiti,Y,,,5478174,1781874,Waikanae at WTP
Waikanae CHP,R26/6594,Automatic,Waikanae,1770722,5473136, , ,Kapiti,Y,,Waikanae at WTP,5471385,1774571,
McLauchlan,R26/6626,Manual,Waikanae,1773782,5474085, ,High,Kapiti,Y,,,5471385,1774571,
Waikanae GW Zone at Waikanae CHP Shallow,R26/6916, ,Waikanae,1770722,5473136, , ,Kapiti,Y,,Waikanae at WTP,5471385,1774571,
QE Park No. 1,R26/6503,Manual,Raumati/Paekak,1766253,5462295, , ,Kapiti,Y,,,5471385,1774571,No decent long record site nearby - probably best to use Waikanae at WTP
QE Park No. 2,R26/6520,Manual,Raumati/Paekak,1766365,5462470, , ,Kapiti,Y,,,5471385,1774571,No decent long record site nearby - probably best to use Waikanae at WTP
,,,,,,,,,,,,,,
HUTT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Site,Site_1,Type,Zone,Easting,Northing,F8,Risk_Categ,Model,Trend_Anal,,,,,
Trentham Memorial Park,R27/7004,Automatic,Upper Hutt,1770649,5444445, , ,Ruamahanga,Y,,Hutt at Birchville,5448184,1775580,
Taita Int. School,R27/1117,Automatic,Lower Hutt,1763574,5438391, , ,HAM3,Y,,Hutt at Birchville,5448184,1775580,
Marsden Street,R27/6386,Automatic,Lower Hutt,1759039,5435971, , ,HAM3,Y,,Hutt at Birchville,5448184,1775580,
      Hutt Rec,R27/1115,Automatic,Lower Hutt,1759588,5435716, , ,HAM3,Y,,Hutt at Birchville,5448184,1775580,
     H.V.M.T.C,R27/0120,Automatic,Lower Hutt,1758778,5434956, , ,HAM3,Y,,Hutt at Birchville,5448184,1775580,
   McEwan Park,R27/0122,Automatic,Lower Hutt,1758748,5433546,,,HAM3,Y,,Hutt at Birchville,5448184,1775580,
      IBM No 1,R27/0320,Automatic,Lower Hutt,1756996,5434508,,,HAM3,Y,,Hutt at Birchville,5448184,1775580,
,,,,,,,,,,,,,,
WAIRARAPA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Site,Site_1,Type,Zone,Easting,Northing,F8,Risk_Categ,Model,Trend_Anal,,,,,
Mast. Boro,T26/0243,Manual,Te Ore Ore,1826226,5463379, ,High,Ruamahanga,Y,,Ruamahanga Mt Bruce,5485284,1819288,
Oliver Shalow,T26/0501, ,Te Ore Ore,1826098,5462612, ,Moderate,Ruamahanga,Y,,Ruamahanga Mt Bruce,5485284,1819288,
Downing,S26/0033,Automatic,Waingawa,1818493,5464562, , ,Ruamahanga,Y,,Waingawa at Kaituna,5470682,1812685,
Trans.Wai.,T26/0429,Manual,Waingawa,1820022,5461986, , ,Ruamahanga,Y,,Waingawa at Kaituna,5470682,1812685,
Dick Invest,S26/0030,Manual,Waingawa,1819666,5464185, ,High,Ruamahanga,Y,,Waingawa at Kaituna,5470682,1812685,
Towgood,S26/0738,Automatic,Parkvale,1815311,5453577, ,Moderate,Ruamahanga,Y,,,5449490,1813496,Parkvale Stream at Renalls Weir
Baring,S26/0743,Automatic,Parkvale,1815028,5451785, ,Very high,Ruamahanga,Y,,,5449490,1813496,Parkvale Stream at Renalls Weir
Denbee,S26/0568,Manual,Parkvale,1813487,5451921, , ,Ruamahanga,Y,,,5449490,1813496,Parkvale Stream at Renalls Weir
McNamara,S26/0675,Manual,Parkvale,1812924,5452588, ,High,Ruamahanga,Y,,,5449490,1813496,Parkvale Stream at Renalls Weir
